IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
254977-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P BIT COMP WHILE RESISTING ARREST,Personal Weapons (Hands-Feet ETC),UNK
090104-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP STRUCK COMP IN THE LEG CAUSING PAIN AND DISCOMFORT,Personal Weapons (Hands-Feet ETC),UNK
066284-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP RESISTED TO BE ARRESTED,Personal Weapons (Hands-Feet ETC),UNK
212446-2018,EVADING ARREST DETENTION,Law Enforcement Offi,AP EVADED ARREST FROM UNIFORMED OFFICERS OF LAWFULL ARREST,,
207055-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P BIT OFFICER ON THE LEFT HAND CAUSING INJURY,Personal Weapons (Hands-Feet ETC),UNK
256969-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP ELBOWED COMP WHO IS PEACE OFFICER IN HEAD WITH ELBOW,Personal Weapons (Hands-Feet ETC),UNK
193645-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,A/P SPIT ON COMPS FACE.,,UNK
256969-2018,CRIMINAL TRESPASS,Business,AP WAS ON PROPERTY WITH ACTIVE CT WARNING,,
154397-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
142048-2018,OBSTRUCT HIGHWAY PASSAGEWAY,Government,AP DURING PROTEST IN THE PUBLIC ROADWAY OBSTRUCTING TRAFFIC,,
249258-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE,,
187135-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP ASSAULTED A PEACE OFFICER CAUSING BODILY INJURY,Personal Weapons (Hands-Feet ETC),UNK
248611-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,ASSAULTED A UNIFORMED PEACE OFFICER,Personal Weapons (Hands-Feet ETC),UNK
248260-2018,EVADING ARREST DETENTION,Society/Public,AP FLED FROM DPD OFFICER AND FAILED TO STOP WHEN COMMANDED TO,,
171457-2018,PUBLIC INTOXICATION,Government,SUSP GOT PUBLIC INTOXICATION,,
230774-2018,CRIM MISCHIEF > OR EQUAL $100 < $750,Individual,AP INTENTIONALLY BROKE COMP APARTMENT WINDOW.,,
151640-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP RESISTED OFFICERS WHEN THEY ATTEMPTED PLACE AP IN SQUAD CAR,Personal Weapons (Hands-Feet ETC),UNK
049959-2018,PUBLIC INTOXICATION,Society/Public,AP WAS UNDER THE INFLUENCE IN A PUBLIC PLACE,,
187215-2018,OBSTRUCTION OR RETALIATION,Government,AP THREATENED TO KILL UNIFORMED OFFICER BECAUSE OF ARREST.,,
203990-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,A/P SPIT ON A/O MULTIPLE TIMES,,UNK
132061-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,ARRESTED PERSON SPIT ON OFFCIERS ARM AND LEG.,,UNK
212446-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP PUNCHED UNIFORMED OFFICER IN THE LEFT JAW CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
135784-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC.,,
268583-2018,ASSAULT -OFFENSIVE CONTACT,Law Enforcement Offi,AP PUSHED COMP OFFENDING HIM.,Personal Weapons (Hands-Feet ETC),UNK
068296-2018,CRIMINAL TRESPASS,Government,AP WAS TOLD TO LEAVE LOCATION AND REFUSED TO LEAVE,,
049959-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP KICKED COMP WITH HER FOOT CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
159255-2018,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Business,AP DAMAGED PROPERTY OF BUSINESS WITH AP'S FIST,,
204422-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,A/P SPAT ON A DALLAS POLICE OFFICER.,,UNK
183346-2018,PUBLIC INTOXICATION,Government,THE ARRESTED PERSON WAS UNDER THE INFLUENCE OF ALCOHOL.,,
187215-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP RESISTED ARREST.,,
265616-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,ARRESTEE WAS DRIVING WITH A SUSPENDED DRIVERS LICENSE AND NO INSU,,
254348-2018,POSS MARIJUANA <2OZ,Society/Public,SUSP WAS IN POSESSION OF MARIJUANA,,
142048-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP STRUCK THE AO IN HIS LEFT EYE WITH THE AP'S  LEFT ELBOW,Personal Weapons (Hands-Feet ETC),UNK
142048-2018,CRIM MISCHIEF <$100,Individual,AP KICKED THE VICTIM #2'S CAR WHILE HE WAS IN THE ROADWAY,,
212446-2018,RESIST ARREST SEARCH OR TRANSPORT,Law Enforcement Offi,AP RESISTED LAWFULL ARREST,,
135784-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,SUSPECT WAS FOUND IN POSS OF METH,,
154397-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,SUSP PUNCHED COMP (PEACE OFFICER) CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
151640-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
158160-2018,ASSAULT -OFFENSIVE CONTACT,Law Enforcement Offi,ARRESTEE ASSAULTED OFFICER DURING THE PERFORMANCE OF HIS DUTY.,Other,UNK
124383-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,,
081136-2021,ROBBERY OF BUSINESS (AGG),Business,AP WAS INVOLVED IN ROBBERY WITH UNKNOWN B/M SUSPECT,Handgun,UNK
254348-2018,TAKE WEAPON FROM AN OFFICER (ATT),Law Enforcement Offi,SUSPECT ATTEMTPED TO TAKE OFFICER'S TAZER,Other,UNK
240471-2018,POSS CONT SUB PEN GRP 1 <1G,Government,A/P HAD COCAINE IN HIS CAR,,
040473-2019,PUBLIC INTOXICATION,Society/Public,SUSP WAS INTOXICATED IN PUBLIC.,,
107097-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,,
274192-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
261783-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSON WAS INTOXICATED IN PUBLIC,,
274327-2018,POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,Government,AP WAS IN POSSESSION OF K2.,,
249367-2018,DWI,Government,DWI,,
267632-2018,POSS MARIJUANA <2OZ,Government,A/P WAS FOUND TO BE IN POSSESSION OF MARIJUANA,,
243038-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP PULLED ARMS AWAY FROM AO ATTEMPTING TO MAKE ARREST,,
239213-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESSION OF CRACK COCAINE,,
177010-2017,HARASSMENT OF PUBLIC SERVANT,Individual,A/P SPIT ON A/OS FACES MAKING SKIN CONTACT,Other,No
149149-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF MARIJUANA,,
108240-2019,RESIST ARREST SEARCH OR TRANSPORT,Government,THE AP RESISTED ARREST.,,
274717-2018,DWI 1 PREV CONV,Government,DWI,,
239767-2018,DISORDERLY CONDUCT,Government,AP MADE OFFENSIVE GESTURE IN A PUBLIC PLACE,,
277296-2018,POSS MARIJUANA <2OZ,Government,A/P WAS IN POSSESSION OF ___ GRAMS OF MARIJUANA,,
069436-2020,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,PICK UP TRUCK STOLEN,,
187135-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
197777-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN A PUBLIC PLACE,,
222424-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP HIT COMP IN THE FACE WITH A CLOSED FIST.,Other,UNK
171960-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP RECKLESSLY ASSAULTED 2 UNIFORMED POLICE OFFICERS,Personal Weapons (Hands-Feet ETC),UNK
177474-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,AP SPIT IN THE AO FACE,,UNK
158411-2018,HARASSMENT OF PUBLIC SERVANT,Individual,AP SPIT ON A/O WHILE BEING BOOKED INTO JAIL.,Other,UNK
132061-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC.,,
006064-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSON INTOXICATED IN THE PUBLIC PLACE,Other,No
212659-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,SUSP KICKED POLICE OFFICER WITH RIGHT FOOT,Personal Weapons (Hands-Feet ETC),UNK
264500-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESSION OF SYRINGE,,
212446-2018,OTHER OFFENSE - MISDEMEANOR,Law Enforcement Offi,AP URINATING IN PUBLIC AREA,,
159255-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE,,
223485-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,SUSPECT ASSAULTED A POLICE OFFICER,Personal Weapons (Hands-Feet ETC),UNK
171960-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP RECKLESSLY ASSAULTED 2 UNIFORMED POLICE OFFICERS,Personal Weapons (Hands-Feet ETC),UNK
263354-2018,PUBLIC INTOXICATION,Government,THE AP WAS OBSERVED TO BE INTOXICATED IN PUBLIC,,
263516-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,AP ARRESTED FOR DRIVING WITHOUT VALID TX DL,,
216019-2018,POSS CONT SUB PEN GRP 1 <1G,Government,POSS OF METHAMPHETAMINE.,,
273606-2018,PUBLIC INTOXICATION,Government,PI ARREST,,
239940-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC AND A DANGER TO HIMSELF.,,
268695-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT- VEH LOCATED/RECOVERED,,
273401-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION.,,
278290-2018,DWI 1 PREV CONV,Government,AP WAS DRIVING WHILE INTOXICATED,,
140190-2021,CRIMINAL TRESPASS HABIT/SHLTR/SUPRFUND/INFSTRT,Individual,AP'S ENTERED COMP'S GARAGE WITHOUT PERMISSION.,,
260362-2018,POSS MARIJUANA <2OZ,Government,AP WAS IN POSSESSION OF MARIJUANA,,
073116-2019,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED WALKING IN THE MIDDLE OF THE ROADWAY,,
256368-2018,POSS MARIJUANA >2OZ< OR EQUAL 4OZ,Government,AP WAS IN POSSESION OF MARIJUANA,,
261037-2018,RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),Government,RECOVER STOLEN GUN,,
164546-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF MARIJUANA,,
163726-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,A/P WAS OPERATING A REPORTED STOELN VEHICLE ON A PUBLIC ROADWAY,,
271376-2018,PUBLIC INTOXICATION,Government,SUSP WAS PASSED OUT DRUNK AND SLEEP IN HIS VEHICLE PARKED AND OFF,,
278997-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
083489-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
074213-2019,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
120613-2021,APOWW (SOCIAL SERVICES REFERRAL),Government,APOWW,,
217065-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,"AP PUNCHED COMP, A FULLY UNIFORMED DALLAS PD SERGEANT",Personal Weapons (Hands-Feet ETC),G
114560-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS VEHICLE WITHOUT PERMISSION.,,
217065-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Society/Public,AP WAS IN POSS OF MARIJUANA IN A DFZ,,
269032-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Government,AP WAS FOUND TO BE IN POSS OF 16.3 GRAMS OF MARIJUANA.,,
248801-2018,PUBLIC INTOXICATION,Government,SUBJECT WAS INTOXICATED IN A PUBLIC PLACE.,,
217065-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,AP GAVE FALSE NAME AND DOB WHILE LAWFULLY DETAINED,,
217065-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP RESISTED LAWFUL ARREST,,
274333-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Society/Public,A/P GAVE FALSE IDENTIFING INFORMATION.,,
163953-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,A/P TOOK COMP VEHICLE W/O CONSENT.,,
249027-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,RESIST ARREST,,
278186-2018,FOUND PROPERTY (NO OFFENSE),Government,FOUND PROPERTY,,
203576-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNKNOWN SUSP STOLE TRUCK,,
010118-2019,TRAFFIC VIOLATION - NON HAZARDOUS,Government,A/P WAS OPERATING MOTOR VEH W/O DRIVER'S LICENSE,,
